Section A,Section B,Journal Category,Journal Title,Keyword,MeSH,Paper,Project Category,Project Term,Normal Inverse Distance
Medical Virology Section,Emerging Respiratory Viruses Section,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Molecular Signaling Section,Immune Activation Section,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Viral Immunology Section,Cellular Biology Section,0.4752851711026616,0.4729064039408867,0.6017316017316018,0.5914858780188293,0.430622009569378,0.5888888888888889,0.583044982698962,0.5300896827650518
HIV Immunovirology Section,B-Cell Immunology Section,0.5588235294117647,0.4701492537313433,0.4493670886075949,0.5448402948402948,0.3401360544217687,0.3666666666666666,0.217292377701934,0.41021696342512476
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.5283687943262412,0.43,0.4498977505112474,0.4893617021276595,0.1721311475409836,0.5581395348837209,0.2665148063781321,0.3988929276411348
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.4352589641434263,0.3170731707317073,0.4322916666666667,0.4149103491664045,0.0893371757925072,0.75,0.2331288343558282,0.35304644601977514
T-Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.4923076923076923,0.4090909090909091,0.3961352657004831,0.3655589123867069,0.1625,0.4545454545454545,0.1305785123966942,0.3314286256443217
Innate Immunity and Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.4069264069264069,0.2716049382716049,0.5280373831775701,0.3818181818181818,0.1976744186046511,0.5,0.1225961538461538,0.3290990095862627
Malaria Immunology Section,Malaria Cell Biology Section,0.5173333333333333,0.3514644351464435,0.5398009950248757,0.5114258126810428,0.1535714285714285,0.175438596491228,0.1430451952610794,0.3202135080212321
Pathogenesis and Immunity Section,Molecular Pathogenesis and Biomarkers Section,0.3050847457627119,0.3430962343096234,0.5,0.3920211012199143,0.3375,0.1366120218579235,0.1892588614393125,0.3055614442621744
Vaccine Development Unit,Molecular Pathogenesis and Biomarkers Section,0.3050847457627119,0.3430962343096234,0.5,0.3920211012199143,0.3375,0.1366120218579235,0.1892588614393125,0.3055614442621744
Vector Molecular Biology Section,Vector Biology Section,0.4829700272479564,0.3341584158415842,0.2274837511606313,0.4012286427337301,0.1229166666666666,0.4426229508196721,0.186604723190089,0.3022966527013014
TSE/Prion Molecular Biology Section,TSE/Prion Biochemistry Section,0.3579418344519016,0.2389937106918239,0.3994565217391304,0.3398058252427184,0.0368421052631578,0.6363636363636364,0.2244274809160305,0.2980338484463251
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.4256619144602851,0.2543352601156069,0.4166666666666667,0.2981269510926118,0.0483091787439613,0.4871794871794871,0.1893530997304582,0.28839894905745733
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.3404907975460122,0.2571428571428571,0.4022662889518413,0.3423645320197044,0.0476190476190476,0.4942528735632184,0.2107409925220938,0.2866278734943291
Metaorganism Immunity Section,Lymphocyte Biology Section,0.5570175438596491,0.5046296296296297,0.1367521367521367,0.3360025624599616,0.0124610591900311,0.4033613445378151,0.2041593438781488,0.28363138723389736
