section_a,section_b,journal_cat_similarity
Medical Virology Section,Emerging Respiratory Viruses Section,1.0
Molecular Signaling Section,Immune Activation Section,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0
Retroviral Immunology Section,HIV-Specific Immunity Section,0.6658097686375322
Viral Biochemistry Section,RNA Viruses Section,0.6497175141242938
Molecular and Cellular Immunoregulation Section,Cell Signaling and Immunity Section,0.6366366366366366
Molecular and Cellular Immunoregulation Section,Molecular and Cellular Immunology Section,0.6335078534031413
T-Lymphocyte Biology Section,HIV Immunovirology Section,0.6244131455399061
Viral Pathogenesis Section (Laboratory of Viral Diseases),HIV-Specific Immunity Section,0.6098765432098765
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Biochemistry Section,0.6031746031746031
Viral Pathogenesis Section (Laboratory of Viral Diseases),RNA Viruses Section,0.6023054755043228
Viral Pathogenesis Section (Laboratory of Viral Diseases),Retroviral Immunology Section,0.5988857938718662
Molecular Pathogenesis Unit,Infectious Disease Pathogenesis Section,0.5886524822695035
Viral Biochemistry Section,Retroviral Immunology Section,0.5842105263157895
Lymphocyte Biology Section,Cell Signaling and Immunity Section,0.5818639798488665
T-Lymphocyte Biology Section,Autoimmunity and Functional Genomics Section,0.5737704918032787
Molecular Biology Section,Inflammation & Innate Immunity Unit,0.5714285714285714
Plague Section,Molecular Genetics Section (Laboratory of Bacteriology),0.5694822888283378
Plague Section,Host-Parasite Interactions Section,0.5686274509803921
Salmonella-Host Cell Interactions Section,Host-Parasite Interactions Section,0.5673758865248227
Molecular and Cellular Immunology Section,Cell Signaling and Immunity Section,0.56575682382134
Viral Biology Section,DNA Tumor Virus Section,0.5636363636363636
HIV Immunovirology Section,B-Cell Immunology Section,0.5588235294117647
Metaorganism Immunity Section,Lymphocyte Biology Section,0.5570175438596491
Retroviral Immunology Section,RNA Viruses Section,0.5549295774647888
Viral Pathogenesis Section (Laboratory of Viral Diseases),DNA Tumor Virus Section,0.5548780487804879
Molecular Biology Section,Autoimmunity and Functional Genomics Section,0.5527950310559007
Cellular Immunology Section,Cell Signaling and Immunity Section,0.5516431924882629
Metaorganism Immunity Section,Cellular Immunology Section,0.5511482254697286
Inflammation & Innate Immunity Unit,Autoimmunity and Functional Genomics Section,0.5477707006369427
Mast Cell Biology Section,Immune Deficiency Genetics Section,0.5465116279069767
Metaorganism Immunity Section,Cell Signaling and Immunity Section,0.5425790754257908
Viral Biochemistry Section,HIV-Specific Immunity Section,0.5419501133786848
HIV-Specific Immunity Section,Barrier Immunity Section,0.5390199637023594
Viral Immunity and Pathogenesis Unit,T-Lymphocyte Biology Section,0.5357142857142857
Viral Immunology Section,Retroviral Immunology Section,0.5354107648725213
Type 2 Immunity Section,Immunity to Pulmonary Pathogens Section,0.5346534653465347
Plague Section,Immunity to Pulmonary Pathogens Section,0.5339233038348082
Viral Immunity and Pathogenesis Unit,Autoimmunity and Functional Genomics Section,0.5333333333333333
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.5283687943262412
Type 2 Immunity Section,T-Lymphocyte Biology Section,0.5269709543568465
Viral Pathogenesis and Vaccine Section,Retroviral Immunology Section,0.5246753246753246
Plague Section,Coxiella Pathogenesis Section,0.5241545893719807
RNA Viruses Section,HIV-Specific Immunity Section,0.5217391304347826
Emerging Respiratory Viruses Section,Disease Modeling and Transmission Section,0.5212298682284041
Medical Virology Section,Disease Modeling and Transmission Section,0.5212298682284041
Mast Cell Biology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.5200235571260307
Malaria Immunology Section,Malaria Cell Biology Section,0.5173333333333333
Retroviral Immunology Section,DNA Tumor Virus Section,0.5149700598802395
Cellular Biology Section,Barrier Immunity Section,0.5143288084464555
Molecular and Cellular Immunoregulation Section,Cellular Immunology Section,0.5138888888888888
Viral Pathogenesis Section (Laboratory of Viral Diseases),TSE/Prion and Retroviral Pathogenesis Section,0.5136612021857924
HIV-Specific Immunity Section,Cellular Biology Section,0.5128644939965694
TSE/Prion and Retroviral Pathogenesis Section,Neuroimmunology Unit,0.5095541401273885
Nonhuman Primate Virology Section,HIV-Specific Immunity Section,0.5069444444444444
Immunobiology Section,Cellular Immunology Section,0.5061919504643962
Molecular Pathogenesis Unit,Innate Immunity and Pathogenesis Section,0.5050505050505051
T-Lymphocyte Biology Section,Malaria Infection Biology and Immunity Unit,0.502092050209205
T-Lymphocyte Biology Section,Immunity to Pulmonary Pathogens Section,0.4982698961937716
T-Lymphocyte Biology Section,B-Cell Immunology Section,0.4979253112033195
Molecular and Cellular Immunology Section,B-Cell Molecular Immunology Section,0.497787610619469
T-Lymphocyte Biology Section,Molecular Biology Section,0.49748743718592964
Mucosal Immunobiology Section,B-Cell Immunology Section,0.49586776859504134
RNA Viruses Section,Caliciviruses Section,0.4956772334293948
Molecular Biology Section,B-Cell Immunology Section,0.49537037037037035
TSE/Prion and Retroviral Pathogenesis Section,RNA Viruses Section,0.4943820224719101
Viral Immunity and Pathogenesis Unit,Molecular Biology Section,0.4943181818181818
Metaorganism Immunity Section,Cellular Biology Section,0.4940374787052811
Nonhuman Primate Virology Section,Barrier Immunity Section,0.49321266968325794
T-Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.49230769230769234
RML Flow Cytometry Unit,Innate Immunity and Pathogenesis Section,0.4919786096256685
Viral Biochemistry Section,Nonhuman Primate Virology Section,0.49183303085299457
TSE/Prion and Retroviral Pathogenesis Section,Retroviral Immunology Section,0.4905149051490515
Viral Biochemistry Section,DNA Tumor Virus Section,0.4903047091412742
RML Microscopy Unit,Mosquito Immunity and Vector Competence Section,0.4902597402597403
Nonhuman Primate Virology Section,Genetic Engineering Section,0.48931383577052867
Molecular and Cellular Immunoregulation Section,Metaorganism Immunity Section,0.48931116389548696
Immunopathogenesis Section (Laboratory of Immunoregulation),Cellular Biology Section,0.48824343015214383
Translational Immunobiology Unit,Immunobiology and Molecular Virology Unit,0.48739495798319327
Immunity to Pulmonary Pathogens Section,Coxiella Pathogenesis Section,0.4872389791183295
Viral Pathogenesis and Vaccine Section,Viral Immunology Section,0.4867021276595745
