section_a,section_b,journal_similarity
Medical Virology Section,Emerging Respiratory Viruses Section,1.0
Molecular Signaling Section,Immune Activation Section,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0
Metaorganism Immunity Section,Lymphocyte Biology Section,0.5046296296296297
Viral Immunology Section,Cellular Biology Section,0.4729064039408867
HIV Immunovirology Section,B-Cell Immunology Section,0.4701492537313433
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.43
RNA Viruses Section,Caliciviruses Section,0.4247787610619469
Molecular and Cellular Immunoregulation Section,Cell Signaling and Immunity Section,0.42038216560509556
Viral Immunology Section,Viral Immunity and Pathogenesis Unit,0.4117647058823529
T-Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.4090909090909091
Lymphocyte Biology Section,Cell Signaling and Immunity Section,0.400990099009901
Virus Ecology Section,Molecular Pathogenesis Unit,0.39416058394160586
Molecular and Cellular Immunology Section,Cell Signaling and Immunity Section,0.38823529411764707
Plague Section,Host-Parasite Interactions Section,0.38235294117647056
Molecular and Cellular Immunology Section,Cellular Immunology Section,0.3802083333333333
HIV-Specific Immunity Section,Barrier Immunity Section,0.3763440860215054
Viral Biochemistry Section,RNA Viruses Section,0.3739130434782609
Immunobiology Section,Cellular Immunology Section,0.36964980544747084
HIV Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.36637931034482757
Molecular Genetics Section (Laboratory of Bacteriology),Host-Parasite Interactions Section,0.3652173913043478
Plague Section,Molecular Genetics Section (Laboratory of Bacteriology),0.3565217391304348
Viral Biology Section,Viral Biochemistry Section,0.3557692307692308
Cellular Immunology Section,Cell Signaling and Immunity Section,0.35467980295566504
Retroviral Immunology Section,Neuroimmunology Unit,0.3523809523809524
Malaria Immunology Section,Malaria Cell Biology Section,0.3514644351464435
Viral Pathogenesis Section (Laboratory of Viral Diseases),HIV-Specific Immunity Section,0.3496932515337423
Viral Immunity and Pathogenesis Unit,T-Lymphocyte Biology Section,0.34782608695652173
Retroviral Immunology Section,HIV-Specific Immunity Section,0.3475177304964539
Metaorganism Immunity Section,Cell Signaling and Immunity Section,0.34579439252336447
T-Lymphocyte Biology Section,Autoimmunity and Functional Genomics Section,0.345679012345679
Pathogenesis and Immunity Section,Molecular Pathogenesis and Biomarkers Section,0.34309623430962344
Vaccine Development Unit,Molecular Pathogenesis and Biomarkers Section,0.34309623430962344
Molecular and Cellular Immunoregulation Section,Lymphocyte Biology Section,0.3402061855670103
RML Microscopy Unit,Host-Parasite Interactions Section,0.33620689655172414
Vector Molecular Biology Section,Vector Biology Section,0.3341584158415842
Viral Biology Section,DNA Tumor Virus Section,0.32967032967032966
Immunobiology Section,Cell Signaling and Immunity Section,0.3292181069958848
Metaorganism Immunity Section,Immunobiology Section,0.32727272727272727
Molecular Development of the Immune System Section,Cell Signaling and Immunity Section,0.32710280373831774
Molecular Genetics Section (Laboratory of Bacteriology),Gene Regulation Section,0.32323232323232326
RNA Viruses Section,Nonhuman Primate Virology Section,0.32142857142857145
Viral Immunology Section,Molecular and Cellular Immunology Section,0.32098765432098764
Viral Biology Section,Retroviral Immunology Section,0.32075471698113206
Viral Biochemistry Section,Caliciviruses Section,0.3203125
Retroviral Immunology Section,RNA Viruses Section,0.31932773109243695
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.3170731707317073
Viral Immunology Section,Retroviral Immunology Section,0.31654676258992803
Inflammation & Innate Immunity Unit,Autoimmunity and Functional Genomics Section,0.31343283582089554
HIV Pathogenesis Section,Clinical Research Section,0.31336405529953915
Plague Section,Chlamydial Diseases Section,0.31313131313131315
HIV Immunovirology Section,Clinical and Molecular Retrovirology Section,0.3128205128205128
Salmonella-Host Cell Interactions Section,Host-Parasite Interactions Section,0.3118279569892473
Molecular Biology Section,Autoimmunity and Functional Genomics Section,0.3111111111111111
Host-Parasite Interactions Section,Chlamydial Diseases Section,0.31
Viral Biochemistry Section,Retroviral Immunology Section,0.30952380952380953
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Biochemistry Section,0.3087248322147651
Viral Pathogenesis Section (Laboratory of Viral Diseases),RNA Viruses Section,0.3076923076923077
Viral Biochemistry Section,Nonhuman Primate Virology Section,0.3068181818181818
Molecular and Cellular Immunoregulation Section,Molecular and Cellular Immunology Section,0.3067484662576687
Metaorganism Immunity Section,Cellular Biology Section,0.3057553956834532
Immunobiology and Molecular Virology Unit,Caliciviruses Section,0.3055555555555556
Molecular and Cellular Immunoregulation Section,Metaorganism Immunity Section,0.3054187192118227
Cellular Biology Section,Cell Signaling and Immunity Section,0.3048780487804878
Viral Pathogenesis Section (Laboratory of Viral Diseases),Caliciviruses Section,0.3026315789473684
HIV Immunovirology Section,Clinical Research Section,0.3023255813953488
Mucosal Immunity Section,Cell Signaling and Immunity Section,0.3018867924528302
Host-Parasite Interactions Section,Coxiella Pathogenesis Section,0.3
Molecular Development of the Immune System Section,Lymphocyte Biology Section,0.29959514170040485
Metaorganism Immunity Section,Cellular Immunology Section,0.29918032786885246
Salmonella-Host Cell Interactions Section,RML Microscopy Unit,0.2980769230769231
Viral Biology Section,Neuroimmunology Unit,0.2967032967032967
Immunobiology Section,Cellular Biology Section,0.2964169381107492
Mucosal Immunobiology Section,Mucosal Immunity Section,0.29518072289156627
Viral Immunology Section,T-Lymphocyte Biology Section,0.29508196721311475
Retroviral Immunology Section,DNA Tumor Virus Section,0.29464285714285715
Viral Pathogenesis and Vaccine Section,HIV-Specific Immunity Section,0.29239766081871343
Plague Section,Coxiella Pathogenesis Section,0.2923076923076923
Retroviral Immunology Section,Caliciviruses Section,0.2923076923076923
Viral Biochemistry Section,DNA Tumor Virus Section,0.2920353982300885
Viral Immunity and Pathogenesis Unit,Molecular Biology Section,0.2912621359223301
TSE/Prion and Retroviral Pathogenesis Section,RNA Viruses Section,0.2905982905982906
Molecular and Cellular Immunology Section,Cellular Biology Section,0.29045643153526973
Lymphocyte Biology Section,Immunobiology Section,0.2903225806451613
Viral Pathogenesis Section (Laboratory of Viral Diseases),Innate Immunity and Pathogenesis Section,0.2900763358778626
Host-Parasite Interactions Section,Gene Regulation Section,0.28888888888888886
