section_a,section_b,keyword_similarity
Medical Virology Section,Emerging Respiratory Viruses Section,1.0
Molecular Signaling Section,Immune Activation Section,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0
Viral Immunology Section,Cellular Biology Section,0.6017316017316018
HIV-Specific Immunity Section,HIV Immunovirology Section,0.556910569105691
Malaria Immunology Section,Malaria Cell Biology Section,0.5398009950248757
Innate Immunity and Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.5280373831775701
Pathogenesis and Immunity Section,Molecular Pathogenesis and Biomarkers Section,0.5
Vaccine Development Unit,Molecular Pathogenesis and Biomarkers Section,0.5
Virus Ecology Section,Molecular Pathogenesis Unit,0.5
Nonhuman Primate Virology Section,Barrier Immunity Section,0.47966101694915253
Pathogenesis and Immunity Section,Malaria Immunology Section,0.47700170357751276
Vaccine Development Unit,Malaria Immunology Section,0.47700170357751276
Malaria Immunology Section,Malaria Functional Genomics Section,0.46764091858037576
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.4498977505112474
HIV Immunovirology Section,B-Cell Immunology Section,0.44936708860759494
HIV-Specific Immunity Section,Clinical and Molecular Retrovirology Section,0.44173441734417346
Malaria Functional Genomics Section,Malaria Cell Biology Section,0.4396135265700483
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.4322916666666667
Viral Biochemistry Section,Translational Immunobiology Unit,0.42857142857142855
Molecular Pathogenesis and Biomarkers Section,Malaria Cell Biology Section,0.42777777777777776
Malaria Genetics Section,Malaria Cell Biology Section,0.4243243243243243
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.4166666666666667
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.40226628895184136
TSE/Prion Molecular Biology Section,TSE/Prion Biochemistry Section,0.39945652173913043
T-Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.3961352657004831
Pathogenesis and Immunity Section,Malaria Cell Biology Section,0.39194139194139194
Vaccine Development Unit,Malaria Cell Biology Section,0.39194139194139194
HIV Immunovirology Section,Clinical and Molecular Retrovirology Section,0.3918918918918919
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.38474295190713104
Mosquito Immunity and Vector Competence Section,Malaria Infection Biology and Immunity Unit,0.3826530612244898
Malaria Infection Biology and Immunity Unit,Malaria Cell Biology Section,0.3825503355704698
Malaria Immunology Section,Malaria Genetics Section,0.3812636165577342
Molecular Pathogenesis and Biomarkers Section,Malaria Immunology Section,0.3708609271523179
HIV Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.37042925278219396
Genetic Immunotherapy Section,Clinical Pathophysiology Section,0.3701657458563536
Molecular Pathogenesis and Biomarkers Section,Malaria Genetics Section,0.3669250645994832
Malaria Genetics Section,Malaria Functional Genomics Section,0.36080178173719374
Molecular Pathogenesis and Biomarkers Section,Malaria Infection Biology and Immunity Unit,0.35737704918032787
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.35384615384615387
Molecular HIV Host Interactions Section,HIV-Specific Immunity Section,0.35034013605442177
Host-Parasite Interactions Section,Chlamydial Diseases Section,0.34782608695652173
Molecular HIV Host Interactions Section,HIV Immunovirology Section,0.3475177304964539
Viral Pathogenesis and Vaccine Section,Viral Pathogenesis Section (Laboratory of Immunoregulation),0.345
Immunopathogenesis Section (Laboratory of Immunoregulation),Barrier Immunity Section,0.33706293706293705
Pathogenesis and Immunity Section,Malaria Functional Genomics Section,0.33544303797468356
Vaccine Development Unit,Malaria Functional Genomics Section,0.33544303797468356
HIV-Specific Immunity Section,Barrier Immunity Section,0.33537832310838445
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV Immunovirology Section,0.334384858044164
Host-Pathogen Interactions and Structural Vaccinology Section,Apicomplexan Molecular Physiology Section,0.3333333333333333
Molecular Pathogenesis and Biomarkers Section,Malaria Functional Genomics Section,0.33184855233853006
Viral Immunology Section,Viral Immunity and Pathogenesis Unit,0.33125
HIV-Specific Immunity Section,B-Cell Immunology Section,0.33053221288515405
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.3264150943396226
Malaria Infection Biology and Immunity Unit,Malaria Genetics Section,0.32608695652173914
Molecular Parasitology and Entomology Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.32608695652173914
Mosquito Immunity and Vector Competence Section,Apicomplexan Molecular Physiology Section,0.32558139534883723
Malaria Infection Biology and Immunity Unit,Apicomplexan Molecular Physiology Section,0.325
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV Immunovirology Section,0.32432432432432434
Viral Pathogenesis Section (Laboratory of Immunoregulation),Molecular HIV Host Interactions Section,0.3202416918429003
Malaria Infection Biology and Immunity Unit,Malaria Functional Genomics Section,0.3191489361702128
Viral Pathogenesis and Vaccine Section,Clinical and Molecular Retrovirology Section,0.3179916317991632
Viral Pathogenesis and Vaccine Section,HIV-Specific Immunity Section,0.31746031746031744
Viral Pathogenesis and Vaccine Section,Nonhuman Primate Virology Section,0.3174311926605505
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical Research Section,0.31343283582089554
Clinical and Molecular Retrovirology Section,Barrier Immunity Section,0.31270903010033446
Viral Pathogenesis and Vaccine Section,Molecular HIV Host Interactions Section,0.30952380952380953
Viral Pathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.30710659898477155
Viral Biochemistry Section,Molecular HIV Host Interactions Section,0.3056768558951965
HIV-Specific Immunity Section,Clinical Research Section,0.3054298642533937
Malaria Infection Biology and Immunity Unit,Malaria Immunology Section,0.30402010050251255
Viral Pathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.30296127562642367
Clinical and Molecular Retrovirology Section,B-Cell Immunology Section,0.30257510729613735
Viral Biochemistry Section,HIV Immunovirology Section,0.3013698630136986
HIV Pathogenesis Section,Barrier Immunity Section,0.3002645502645503
HIV Immunovirology Section,Barrier Immunity Section,0.2979591836734694
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV Pathogenesis Section,0.29773869346733667
