section_a,section_b,mesh_similarity
Medical Virology Section,Emerging Respiratory Viruses Section,1.0
Molecular Signaling Section,Immune Activation Section,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0
Viral Immunology Section,Cellular Biology Section,0.5914858780188293
HIV Immunovirology Section,B-Cell Immunology Section,0.5448402948402948
Malaria Immunology Section,Malaria Cell Biology Section,0.5114258126810428
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.48936170212765956
HIV Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.4533533158486324
Virus Ecology Section,Molecular Pathogenesis Unit,0.4367816091954023
HIV Pathogenesis Section,Clinical Research Section,0.4205955334987593
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.4149103491664045
Vector Molecular Biology Section,Vector Biology Section,0.4012286427337301
Pathogenesis and Immunity Section,Molecular Pathogenesis and Biomarkers Section,0.3920211012199143
Vaccine Development Unit,Molecular Pathogenesis and Biomarkers Section,0.3920211012199143
Innate Immunity and Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.38181818181818183
Malaria Genetics Section,Malaria Functional Genomics Section,0.3779527559055118
Metaorganism Immunity Section,Cellular Immunology Section,0.36788366336633666
T-Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.36555891238670696
HIV-Specific Immunity Section,HIV Immunovirology Section,0.35732916014606153
Viral Immunology Section,Viral Immunity and Pathogenesis Unit,0.3432923257176333
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.34236453201970446
Mucosal Immunity Section,Metaorganism Immunity Section,0.34196891191709844
TSE/Prion Molecular Biology Section,TSE/Prion Biochemistry Section,0.33980582524271846
Metaorganism Immunity Section,Immunobiology Section,0.33788659793814435
Pathogenesis and Immunity Section,Malaria Immunology Section,0.3376494023904382
Vaccine Development Unit,Malaria Immunology Section,0.3376494023904382
Metaorganism Immunity Section,Lymphocyte Biology Section,0.3360025624599616
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.3322876447876448
Lymphocyte Biology Section,Cell Signaling and Immunity Section,0.3321678321678322
Pathogenesis and Immunity Section,Malaria Cell Biology Section,0.3291072371896461
Vaccine Development Unit,Malaria Cell Biology Section,0.3291072371896461
HIV Pathogenesis Section,HIV Immunovirology Section,0.3276861346411057
Nonhuman Primate Virology Section,Barrier Immunity Section,0.3257676902536716
HIV Immunovirology Section,Clinical Research Section,0.32489645651173493
HIV Immunovirology Section,Clinical and Molecular Retrovirology Section,0.32390438247011955
HIV-Specific Immunity Section,B-Cell Immunology Section,0.3223748773307164
Emerging Virus Immunity Unit,Clinical Research Section,0.3218984962406015
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV Immunovirology Section,0.32
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Immune Deficiency Genetics Section,0.31784305129329243
Mucosal Immunity Section,Immunobiology Section,0.31755725190839695
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.3153732081067721
Lymphocyte Biology Section,Cellular Immunology Section,0.3148614609571788
Mucosal Immunity Section,Cellular Immunology Section,0.31385991058122203
HIV Immunovirology Section,Barrier Immunity Section,0.31118314424635335
HIV-Specific Immunity Section,Barrier Immunity Section,0.3098159509202454
Retroviral Immunology Section,Neuroimmunology Unit,0.3081591368846932
Molecular and Cellular Immunoregulation Section,Cell Signaling and Immunity Section,0.3068607068607069
Lung and Vascular Inflammation Section,B-Cell Molecular Immunology Section,0.3067880166856276
HIV Pathogenesis Section,Barrier Immunity Section,0.30623492938339647
Pathology Core,Autoimmunity and Functional Genomics Section,0.30612244897959184
HIV Immunovirology Section,Emerging Virus Immunity Unit,0.30454042081949056
Barrier Immunity Section,B-Cell Immunology Section,0.30446708463949845
Translational Immunobiology Unit,HIV-Specific Immunity Section,0.3032015065913371
Malaria Functional Genomics Section,Malaria Cell Biology Section,0.30298321939092604
Cellular Immunology Section,Cell Signaling and Immunity Section,0.29878438899552145
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.29812695109261184
Clinical and Molecular Retrovirology Section,Barrier Immunity Section,0.29727187206020694
Twinbrook Imaging Facility,Chemotaxis Signal Section,0.2968299711815562
TSE/Prion and Retroviral Pathogenesis Section,Neuroimmunology Unit,0.29577464788732394
Malaria Immunology Section,Emerging Respiratory Viruses Section,0.29527638190954775
Medical Virology Section,Malaria Immunology Section,0.29527638190954775
Immune Deficiency Genetics Section,Genetic Immunotherapy Section,0.2921978582355941
Immunobiology Section,Cellular Immunology Section,0.2902905388626769
Metaorganism Immunity Section,Cell Signaling and Immunity Section,0.28893833439287986
Molecular Development of the Immune System Section,Human Immunological Diseases Section,0.28826843007592456
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV Immunovirology Section,0.28749351323300465
Molecular and Cellular Immunoregulation Section,Cellular Immunology Section,0.28676200953428677
Molecular Pathogenesis and Biomarkers Section,Malaria Infection Biology and Immunity Unit,0.28653957250144424
Clinical Research Section,B-Cell Immunology Section,0.2860233665080052
HIV Pathogenesis Section,Emerging Virus Immunity Unit,0.2850838481906443
T-Lymphocyte Biology Section,Mucosal Immunobiology Section,0.28468727534148097
Genetic Immunotherapy Section,Clinical Pathophysiology Section,0.28388578930095176
Immunopathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.2827980402830702
Mucosal Immunobiology Section,Mucosal Immunity Section,0.28261758691206545
Virus Ecology Section,Viral Pathogenesis and Evolution Section,0.2824478816408877
RML Microscopy Unit,Host-Parasite Interactions Section,0.2822695035460993
HIV Pathogenesis Section,B-Cell Immunology Section,0.28225469728601255
Lymphocyte Biology Section,Immunobiology Section,0.2816791915003887
Clinical and Molecular Retrovirology Section,B-Cell Immunology Section,0.2813203300825206
Molecular and Cellular Immunoregulation Section,Metaorganism Immunity Section,0.28117001828153565
Vector Molecular Biology Section,Intracellular Parasite Biology Section,0.278783490224475
Virus Ecology Section,Immunobiology and Molecular Virology Unit,0.27819884083816315
Viral Pathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.27805362462760674
