section_a,section_b,paper_similarity
Medical Virology Section,Emerging Respiratory Viruses Section,1.0
Molecular Signaling Section,Immune Activation Section,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0
Viral Immunology Section,Cellular Biology Section,0.430622009569378
HIV Immunovirology Section,B-Cell Immunology Section,0.3401360544217687
Pathogenesis and Immunity Section,Molecular Pathogenesis and Biomarkers Section,0.3375
Vaccine Development Unit,Molecular Pathogenesis and Biomarkers Section,0.3375
Virus Ecology Section,Molecular Pathogenesis Unit,0.31724137931034485
Viral Budding Unit,Nonhuman Primate Virology Section,0.20408163265306123
Innate Immunity and Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.19767441860465115
Immunopathogenesis Section (Laboratory of Immunoregulation),HIV Immunovirology Section,0.1724137931034483
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.1721311475409836
Genetic Immunotherapy Section,Clinical Pathophysiology Section,0.167420814479638
Immunobiology and Molecular Virology Unit,Disease Modeling and Transmission Section,0.1654320987654321
T-Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.1625
Human Eosinophil Section,Allergy and Immunology Clinical Training Program,0.15862068965517243
Immunopathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.1544943820224719
Malaria Immunology Section,Malaria Cell Biology Section,0.15357142857142858
Viral Immunity and Pathogenesis Unit,Cellular Biology Section,0.1471861471861472
Viral Immunology Section,Viral Immunity and Pathogenesis Unit,0.12751677852348994
Vector Molecular Biology Section,Vector Biology Section,0.12291666666666666
Viral Pathogenesis and Evolution Section,LID Clinical Studies Unit,0.12060301507537688
Retroviral Immunology Section,Neuroimmunology Unit,0.11811023622047244
Vector Biology Section,Molecular Entomology Unit,0.10869565217391304
RML Microscopy Unit,Host-Parasite Interactions Section,0.10714285714285714
Retroviral Immunology Section,RML Flow Cytometry Unit,0.10476190476190476
Inflammation & Innate Immunity Unit,Immunobiology Section,0.102803738317757
Human Eosinophil Section,Helminth Immunology Section,0.10129310344827586
Infectious Disease Pathogenesis Section,Building 33,0.0967741935483871
Molecular Pathogenesis Unit,Disease Modeling and Transmission Section,0.09113924050632911
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Genetic Immunotherapy Section,0.09009009009009009
HIV Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.08934707903780069
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.0893371757925072
TSE/Prion and Retroviral Pathogenesis Section,Neuroimmunology Unit,0.088
Twinbrook Imaging Facility,Chemotaxis Signal Section,0.088
Translational Mycology Section,Infectious Disease Fellowship Training Program,0.07608695652173914
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Clinical Pathophysiology Section,0.07557117750439367
Infectious Disease Pathogenesis Section,Epithelial Therapeutics Unit,0.06818181818181818
HIV Pathogenesis Section,Clinical Research Section,0.06741573033707865
Primary Immune Deficiency Clinic,Molecular Development of the Immune System Section,0.06542056074766354
Nonhuman Primate Virology Section,Barrier Immunity Section,0.06498194945848375
Virus Ecology Section,Disease Modeling and Transmission Section,0.06382978723404255
Malaria Genetics Section,Malaria Functional Genomics Section,0.06349206349206349
Molecular Development of the Immune System Section,Human Immunological Diseases Section,0.0625
T-Lymphocyte Biology Section,Immunobiology Section,0.06198347107438017
Plague Section,Immunity to Pulmonary Pathogens Section,0.058394160583941604
Malaria Infection Biology and Immunity Unit,Malaria Cell Biology Section,0.057692307692307696
RML Flow Cytometry Unit,Neuroimmunology Unit,0.056179775280898875
Signaling Systems Section,Functional Cellular Networks Section,0.05555555555555555
Lymphocyte Biology Section,Computational Biology Unit,0.05263157894736842
T-Lymphocyte Biology Section,Infectious Disease Pathogenesis Section,0.05128205128205128
Malaria Infection Biology and Immunity Unit,Lymphocyte Activation Section,0.05054945054945055
Building NIHAC/103,Building 33,0.05
Mucosal Immunobiology Section,Mucosal Immunity Section,0.04878048780487805
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.04830917874396135
Molecular Genetics Section (Laboratory of Bacteriology),Gene Regulation Section,0.048
Pathology Core,Autoimmunity and Functional Genomics Section,0.047619047619047616
T-Lymphocyte Biology Section,Building 33,0.047619047619047616
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.047619047619047616
RML Flow Cytometry Unit,Innate Immunity and Pathogenesis Section,0.04597701149425287
Translational Mycology Section,Genomic Technologies Section,0.040229885057471264
Metaorganism Immunity Section,Intracellular Parasite Biology Section,0.04
Innate Immunity and Pathogenesis Section,Immunobiology and Molecular Virology Unit,0.0392156862745098
T-Lymphocyte Biology Section,HIV Pathogenesis Section,0.03864734299516908
Malaria Immunology Section,Malaria Functional Genomics Section,0.038461538461538464
Molecular Pathogenesis Unit,Immunobiology and Molecular Virology Unit,0.03821656050955414
Malaria Cell Biology Section,Lymphocyte Activation Section,0.03770197486535009
TSE/Prion Molecular Biology Section,TSE/Prion Biochemistry Section,0.03684210526315789
Viral Pathogenesis and Vaccine Section,Nonhuman Primate Virology Section,0.035856573705179286
Neuroimmunology Unit,Innate Immunity and Pathogenesis Section,0.035398230088495575
Signaling Systems Section,Computational Biology Unit,0.03529411764705882
HIV-Specific Immunity Section,Clinical Research Section,0.03524229074889868
Immunobiology Section,HIV Pathogenesis Section,0.03468208092485549
RML Genomics Unit,Coxiella Pathogenesis Section,0.03409090909090909
Vector Molecular Biology Section,Intracellular Parasite Biology Section,0.033210332103321034
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical Research Section,0.0330188679245283
Computational Biology Unit,Chemotaxis Signal Section,0.032520325203252036
Molecular Defenses Section,Genetic Immunotherapy Section,0.032520325203252036
Mucosal Immunobiology Section,Inflammation Biology Section,0.031746031746031744
Immune Activation Section,Fungal Pathogenesis Section,0.031578947368421054
Molecular Signaling Section,Fungal Pathogenesis Section,0.031578947368421054
Functional Cellular Networks Section,Computational Biology Unit,0.030303030303030304
Molecular Pathogenesis and Biomarkers Section,Epidemiology and Population Studies Unit,0.02976190476190476
RML Flow Cytometry Unit,Plague Section,0.0297029702970297
RML Microscopy Unit,Chlamydial Diseases Section,0.02857142857142857
