section_a,section_b,project_cat_similarity
Medical Virology Section,Emerging Respiratory Viruses Section,1.0
Molecular Signaling Section,Immune Activation Section,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0
Plague Section,Coxiella Pathogenesis Section,0.7647058823529411
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.75
Structural Informatics Unit,LID Clinical Studies Unit,0.6923076923076923
TSE/Prion Molecular Biology Section,TSE/Prion Biochemistry Section,0.6363636363636364
Computational Biology Unit,Chemotaxis Signal Section,0.6
Vector Molecular Biology Section,Intracellular Parasite Biology Section,0.5945945945945946
Structural Immunology Section,Chemotaxis Signal Section,0.5909090909090909
Viral Immunology Section,Cellular Biology Section,0.5888888888888889
Viral Pathogenesis and Vaccine Section,Nonhuman Primate Virology Section,0.5853658536585366
Vector Molecular Biology Section,Malaria Immunology Section,0.5714285714285714
Mosquito Immunity and Vector Competence Section,Malaria Immunology Section,0.5588235294117647
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.5581395348837209
Mosquito Immunity and Vector Competence Section,Apicomplexan Molecular Physiology Section,0.5555555555555556
Malaria Immunology Section,Intracellular Parasite Biology Section,0.5526315789473685
Pathogen Molecular Genetics Section,Coxiella Pathogenesis Section,0.5526315789473685
Retroviral Immunology Section,Nonhuman Primate Virology Section,0.5454545454545454
Viral Immunology Section,Genetic Engineering Section,0.5340909090909091
Virus Ecology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.52
Molecular Biology Section,Coxiella Pathogenesis Section,0.5116279069767442
Genetic Engineering Section,Cellular Biology Section,0.504424778761062
Lymphocyte Biology Section,Cellular Biology Section,0.5039370078740157
Viral Pathogenesis and Evolution Section,Cellular Biology Section,0.5038167938931297
Coxiella Pathogenesis Section,Clinical Pathophysiology Section,0.5
Innate Immunity and Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.5
Molecular Genetics Section (Laboratory of Bacteriology),Gene Regulation Section,0.5
Molecular and Cellular Immunoregulation Section,Functional Cellular Networks Section,0.5
Plague Section,Pathogen Molecular Genetics Section,0.5
T-Lymphocyte Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.5
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.4942528735632184
Molecular Biology Section,Cellular Immunology Section,0.4915254237288136
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.48717948717948717
Malaria Genetics Section,Helminth Immunology Section,0.48598130841121495
Mosquito Immunity and Vector Competence Section,Intracellular Parasite Biology Section,0.4838709677419355
Host-Pathogen Interactions and Structural Vaccinology Section,Biology of Vector-Borne Viruses Section,0.4827586206896552
Disease Modeling and Transmission Section,Cellular Biology Section,0.48201438848920863
Viral Pathogenesis Section (Laboratory of Viral Diseases),Vector Biology Section,0.48148148148148145
Viral Pathogenesis Section (Laboratory of Immunoregulation),Translational Mycology Section,0.48
Lymphocyte Biology Section,Disease Modeling and Transmission Section,0.4797297297297297
Plague Section,Gene Regulation Section,0.4772727272727273
Viral Pathogenesis and Evolution Section,Genetic Engineering Section,0.4765625
Multiscale Systems Biology Section,LID Clinical Studies Unit,0.47619047619047616
Structural Immunology Section,Computational Biology Unit,0.47619047619047616
Structural Informatics Unit,Multiscale Systems Biology Section,0.47619047619047616
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV Immunovirology Section,0.47619047619047616
Microbial Pathogenesis Section,Disease Modeling and Transmission Section,0.47586206896551725
Malaria Immunology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.47368421052631576
Plague Section,Molecular Genetics Section (Laboratory of Bacteriology),0.4722222222222222
Vector Molecular Biology Section,Mosquito Immunity and Vector Competence Section,0.4722222222222222
Viral Immunology Section,Lymphocyte Biology Section,0.4716981132075472
Plague Section,Molecular Biology Section,0.46808510638297873
LID Clinical Studies Unit,Epithelial Therapeutics Unit,0.4666666666666667
Molecular Biology Section,B-Cell Molecular Immunology Section,0.46511627906976744
T-Cell Tolerance and Memory Section,Molecular Biology Section,0.46296296296296297
Molecular and Cellular Immunology Section,Immunobiology Section,0.4626865671641791
Mosquito Immunity and Vector Competence Section,Malaria Functional Genomics Section,0.46153846153846156
Multiscale Systems Biology Section,Functional Cellular Networks Section,0.46153846153846156
Viral Immunology Section,Molecular and Cellular Immunology Section,0.4603174603174603
Nonhuman Primate Virology Section,Molecular Biology Section,0.4583333333333333
T-Cell Tolerance and Memory Section,Coxiella Pathogenesis Section,0.4583333333333333
Virus Ecology Section,Biology of Vector-Borne Viruses Section,0.4583333333333333
Viral Pathogenesis and Vaccine Section,Retroviral Immunology Section,0.45652173913043476
Genetic Engineering Section,Disease Modeling and Transmission Section,0.45588235294117646
Functional Cellular Networks Section,Computational Biology Unit,0.45454545454545453
Intracellular Parasite Biology Section,Apicomplexan Molecular Physiology Section,0.45454545454545453
Multiscale Systems Biology Section,Coxiella Pathogenesis Section,0.45454545454545453
Plague Section,Clinical Pathophysiology Section,0.45454545454545453
T-Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.45454545454545453
Viral Biology Section,Viral Biochemistry Section,0.45454545454545453
Retroviral Immunology Section,Intracellular Parasite Biology Section,0.4523809523809524
Viral Pathogenesis and Evolution Section,Disease Modeling and Transmission Section,0.45161290322580644
Viral Immunology Section,Metaorganism Immunity Section,0.45121951219512196
Plague Section,Immunity to Pulmonary Pathogens Section,0.45098039215686275
Molecular and Cellular Immunology Section,Metaorganism Immunity Section,0.4507042253521127
Plague Section,Intracellular Parasite Biology Section,0.45
Signaling Systems Section,Coxiella Pathogenesis Section,0.45
Lymphocyte Biology Section,Lymphocyte Activation Section,0.4489795918367347
Malaria Immunology Section,Apicomplexan Molecular Physiology Section,0.4473684210526316
Intracellular Parasite Biology Section,Chlamydial Diseases Section,0.44680851063829785
Vector Biology Section,Intracellular Parasite Biology Section,0.44642857142857145
Viral Pathogenesis Section (Laboratory of Viral Diseases),Microbial Pathogenesis Section,0.44642857142857145
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immunity to Pulmonary Pathogens Section,0.44594594594594594
