section_a,section_b,project_term_similarity
Medical Virology Section,Emerging Respiratory Viruses Section,1.0
Molecular Signaling Section,Immune Activation Section,1.0
Vaccine Development Unit,Pathogenesis and Immunity Section,1.0
Viral Immunology Section,Cellular Biology Section,0.583044982698962
Clinical and Molecular Retrovirology Section,Clinical Research Section,0.26651480637813213
Lymphocyte Biology Section,Cellular Immunology Section,0.25618945102260493
Viral Pathogenesis and Vaccine Section,Nonhuman Primate Virology Section,0.2550106609808102
Mucosal Immunity Section,Cellular Immunology Section,0.24418955629338968
Malaria Immunology Section,Malaria Genetics Section,0.2401883830455259
HIV-Specific Immunity Section,B-Cell Immunology Section,0.23918269230769232
Immunobiology Section,Cellular Immunology Section,0.236979969183359
Lymphocyte Biology Section,Immunobiology Section,0.23593237446379006
Metaorganism Immunity Section,Immunobiology Section,0.2337615988579586
Pathogen-Host Cell Biology Section,Pathogen Molecular Genetics Section,0.2331288343558282
Molecular Development of the Immune System Section,Lymphocyte Biology Section,0.22844323058915333
Mucosal Immunity Section,Immunobiology Section,0.22729836435420192
Signaling Systems Section,Multiscale Systems Biology Section,0.22594142259414227
Retroviral Immunology Section,B-Cell Immunology Section,0.22575387123064386
TSE/Prion Molecular Biology Section,TSE/Prion Biochemistry Section,0.22442748091603054
Viral Pathogenesis and Evolution Section,Disease Modeling and Transmission Section,0.22410691338987407
Immune Deficiency Genetics Section,Genetic Immunotherapy Section,0.22167912593444508
Mucosal Immunity Section,Lymphocyte Biology Section,0.22008286619546674
Immunopathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.21995150675441635
Immunobiology Section,Helminth Immunology Section,0.21990238611713667
Multiscale Systems Biology Section,Molecular and Cellular Immunoregulation Section,0.21947449768160743
Vector Molecular Biology Section,Intracellular Parasite Biology Section,0.21800529567519858
HIV Immunovirology Section,B-Cell Immunology Section,0.21729237770193402
Lymphocyte Biology Section,Lymphocyte Activation Section,0.21314708299096138
Immune Deficiency Genetics Section,Human Immunological Diseases Section,0.21161825726141079
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.2107409925220938
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.2103163294385865
Multiscale Systems Biology Section,Functional Cellular Networks Section,0.21007194244604316
Signaling Systems Section,Functional Cellular Networks Section,0.20991561181434598
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Clinical Pathophysiology Section,0.20970042796005706
Viral Pathogenesis and Vaccine Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.20954759922286983
Lung and Vascular Inflammation Section,B-Cell Molecular Immunology Section,0.2079790712884238
Molecular Development of the Immune System Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.20763677811550152
Intracellular Parasite Biology Section,Immunobiology Section,0.20658263305322128
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Immunobiology Section,0.20487627365356623
Metaorganism Immunity Section,Lymphocyte Biology Section,0.2041593438781488
Mucosal Immunity Section,Molecular Development of the Immune System Section,0.2038936571069709
Metaorganism Immunity Section,Cellular Immunology Section,0.20230998509687034
Molecular Development of the Immune System Section,Cellular Immunology Section,0.20075421472937
Immune Deficiency Genetics Section,Cellular Immunology Section,0.2005610098176718
Viral Pathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.19940476190476192
Mucosal Immunity Section,Metaorganism Immunity Section,0.1991254624957955
Molecular Development of the Immune System Section,Mast Cell Biology Section,0.19850187265917604
Molecular and Cellular Immunology Section,Cellular Immunology Section,0.19840764331210192
Nonhuman Primate Virology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.19780528981429377
Intracellular Parasite Biology Section,Cellular Immunology Section,0.19731943410275501
Lymphocyte Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.197098976109215
Molecular and Cellular Immunology Section,Lymphocyte Biology Section,0.19675508627349989
Helminth Immunology Section,Cellular Immunology Section,0.1961333706920706
Type 2 Immunity Section,Metaorganism Immunity Section,0.19603399433427762
Gene Regulation Section,Coxiella Pathogenesis Section,0.1958939264328486
Viral Budding Unit,Nonhuman Primate Virology Section,0.1956368754398311
Lymphocyte Biology Section,Helminth Immunology Section,0.19559164733178655
Immunopathogenesis Section (Laboratory of Immunoregulation),Immunobiology Section,0.19556305763202314
Mosquito Immunity and Vector Competence Section,Malaria Immunology Section,0.1952191235059761
Molecular and Cellular Immunology Section,Mast Cell Biology Section,0.19506069485140226
HIV-Specific Immunity Section,Cell Signaling and Immunity Section,0.19479905437352246
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.19460300985988582
Immune Deficiency Genetics Section,Cell Signaling and Immunity Section,0.19403649310191368
Metaorganism Immunity Section,Intracellular Parasite Biology Section,0.1923766816143498
Molecular Development of the Immune System Section,Lymphocyte Activation Section,0.1914675267556077
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Immune Deficiency Genetics Section,0.19133099824868652
Molecular Genetics Section (Laboratory of Bacteriology),Gene Regulation Section,0.19129438717067582
Molecular Development of the Immune System Section,Immunobiology Section,0.19126029132362254
Viral Pathogenesis Section (Laboratory of Immunoregulation),Retroviral Immunology Section,0.1912568306010929
Molecular Development of the Immune System Section,Human Immunological Diseases Section,0.19076522870149576
Molecular Biology Section,Cellular Immunology Section,0.19052945563012677
Viral Pathogenesis Section (Laboratory of Immunoregulation),Nonhuman Primate Virology Section,0.19016227180527384
Retroviral Immunology Section,HIV-Specific Immunity Section,0.1898047722342733
Translational Mycology Section,Multiscale Systems Biology Section,0.18969555035128804
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Biochemistry Section,0.18935309973045822
Pathogenesis and Immunity Section,Molecular Pathogenesis and Biomarkers Section,0.18925886143931256
Vaccine Development Unit,Molecular Pathogenesis and Biomarkers Section,0.18925886143931256
Molecular Defenses Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.18911035488575595
Mucosal Immunobiology Section,Metaorganism Immunity Section,0.18888888888888888
Molecular Pathogenesis and Biomarkers Section,Malaria Immunology Section,0.188504326328801
